finish_timestamp,start_timestamp,predicted_state,invalid,p_drilling,p_in_slips,p_off_bottom,p_reaming,p_shut_in,p_trip_in_slips
1247008969.0,1247008924.0,drilling,false,1,0,0,0,0,0
1247008972.0,1247008927.0,drilling,false,1,0,0,0,0,0
1247008975.0,1247008930.0,drilling,false,1,0,0,0,0,0
1247008978.0,1247008933.0,drilling,false,1,0,0,0,0,0
1247008981.0,1247008936.0,drilling,false,1,0,0,0,0,0
1247008984.0,1247008939.0,drilling,false,1,0,0,0,0,0
1247008987.0,1247008942.0,drilling,false,1,0,0,0,0,0
1247008990.0,1247008945.0,drilling,false,1,0,0,0,0,0
1247008993.0,1247008948.0,drilling,false,1,0,0,0,0,0
1247008996.0,1247008951.0,drilling,false,1,0,0,0,0,0
1247008999.0,1247008954.0,drilling,false,1,0,0,0,0,0
1247009002.0,1247008957.0,drilling,false,1,0,0,0,0,0
1247009005.0,1247008960.0,drilling,false,1,0,0,0,0,0
1247009008.0,1247008963.0,drilling,false,1,0,0,0,0,0
1247009011.0,1247008966.0,drilling,false,1,0,0,0,0,0
1247009014.0,1247008969.0,drilling,false,1,0,0,0,0,0
1247009017.0,1247008972.0,drilling,false,1,0,0,0,0,0
1247009020.0,1247008975.0,drilling,false,1,0,0,0,0,0
1247009023.0,1247008978.0,drilling,false,1,0,0,0,0,0
1247009026.0,1247008981.0,drilling,false,1,0,0,0,0,0
1247009029.0,1247008984.0,drilling,false,1,0,0,0,0,0
1247009032.0,1247008987.0,drilling,false,1,0,0,0,0,0
1247009035.0,1247008990.0,drilling,false,1,0,0,0,0,0
1247009038.0,1247008993.0,drilling,false,1,0,0,0,0,0
1247009041.0,1247008996.0,drilling,false,1,0,0,0,0,0
1247009044.0,1247008999.0,drilling,false,1,0,0,0,0,0
1247009047.0,1247009002.0,drilling,false,1,0,0,0,0,0
1247009050.0,1247009005.0,drilling,false,1,0,0,0,0,0
1247009053.0,1247009008.0,drilling,false,1,0,0,0,0,0
1247009056.0,1247009011.0,drilling,false,1,0,0,0,0,0
1247009059.0,1247009014.0,drilling,false,1,0,0,0,0,0
1247009062.0,1247009017.0,drilling,false,1,0,0,0,0,0
1247009065.0,1247009020.0,drilling,false,1,0,0,0,0,0
1247009068.0,1247009023.0,drilling,false,1,0,0,0,0,0
1247009071.0,1247009026.0,drilling,false,1,0,0,0,0,0
1247009074.0,1247009029.0,drilling,false,1,0,0,0,0,0
1247009077.0,1247009032.0,drilling,false,1,0,0,0,0,0
1247009080.0,1247009035.0,drilling,false,1,0,0,0,0,0
1247009083.0,1247009038.0,drilling,false,1,0,0,0,0,0
1247009089.0,1247009041.0,drilling,false,1,0,0,0,0,0
1247009092.0,1247009044.0,drilling,false,1,0,0,0,0,0
1247009095.0,1247009047.0,drilling,false,1,0,0,0,0,0
1247009098.0,1247009050.0,drilling,false,1,0,0,0,0,0
1247009101.0,1247009053.0,drilling,false,1,0,0,0,0,0
1247009104.0,1247009056.0,drilling,false,1,0,0,0,0,0
1247009107.0,1247009059.0,drilling,false,1,0,0,0,0,0
1247009110.0,1247009062.0,drilling,false,1,0,0,0,0,0
1247009113.0,1247009065.0,drilling,false,1,0,0,0,0,0
1247009116.0,1247009068.0,drilling,false,1,0,0,0,0,0
1247009119.0,1247009071.0,drilling,false,1,0,0,0,0,0
1247009122.0,1247009074.0,drilling,false,1,0,0,0,0,0
1247009125.0,1247009077.0,drilling,false,1,0,0,0,0,0
1247009128.0,1247009080.0,drilling,false,1,0,0,0,0,0
1247009131.0,1247009083.0,drilling,false,1,0,0,0,0,0
1247009134.0,1247009089.0,drilling,false,1,0,0,0,0,0
1247009137.0,1247009092.0,drilling,false,1,0,0,0,0,0
1247009140.0,1247009095.0,drilling,false,1,0,0,0,0,0
1247009143.0,1247009098.0,drilling,false,1,0,0,0,0,0
1247009146.0,1247009101.0,drilling,false,1,0,0,0,0,0
1247009149.0,1247009104.0,drilling,false,1,0,0,0,0,0
1247009152.0,1247009107.0,drilling,false,1,0,0,0,0,0
1247009155.0,1247009110.0,drilling,false,1,0,0,0,0,0
1247009158.0,1247009113.0,drilling,false,1,0,0,0,0,0
1247009161.0,1247009116.0,drilling,false,1,0,0,0,0,0
1247009164.0,1247009119.0,drilling,false,1,0,0,0,0,0
1247009167.0,1247009122.0,drilling,false,1,0,0,0,0,0
1247009170.0,1247009125.0,drilling,false,1,0,0,0,0,0
1247009173.0,1247009128.0,drilling,false,1,0,0,0,0,0
1247009176.0,1247009131.0,drilling,false,1,0,0,0,0,0
1247009179.0,1247009134.0,drilling,false,1,0,0,0,0,0
1247009182.0,1247009137.0,drilling,false,1,0,0,0,0,0
1247009185.0,1247009140.0,drilling,false,1,0,0,0,0,0
1247009188.0,1247009143.0,drilling,false,1,0,0,0,0,0
1247009191.0,1247009146.0,drilling,false,1,0,0,0,0,0
1247009194.0,1247009149.0,drilling,false,1,0,0,0,0,0
1247009197.0,1247009152.0,drilling,false,1,0,0,0,0,0
1247009200.0,1247009155.0,drilling,false,1,0,0,0,0,0
1247009203.0,1247009158.0,drilling,false,1,0,0,0,0,0
1247009206.0,1247009161.0,drilling,false,1,0,0,0,0,0
1247009209.0,1247009164.0,drilling,false,1,0,0,0,0,0
1247009212.0,1247009167.0,drilling,false,1,0,0,0,0,0
1247009215.0,1247009170.0,drilling,false,1,0,0,0,0,0
1247009218.0,1247009173.0,drilling,false,1,0,0,0,0,0
1247009221.0,1247009176.0,drilling,false,1,0,0,0,0,0
1247009224.0,1247009179.0,drilling,false,1,0,0,0,0,0
1247009227.0,1247009182.0,drilling,false,1,0,0,0,0,0
1247009230.0,1247009185.0,drilling,false,1,0,0,0,0,0
1247009233.0,1247009188.0,drilling,false,1,0,0,0,0,0
1247009236.0,1247009191.0,drilling,false,1,0,0,0,0,0
1247009239.0,1247009194.0,drilling,false,1,0,0,0,0,0
1247009242.0,1247009197.0,drilling,false,1,0,0,0,0,0
1247009245.0,1247009200.0,drilling,false,1,0,0,0,0,0
1247009248.0,1247009203.0,drilling,false,1,0,0,0,0,0
1247009251.0,1247009206.0,drilling,false,1,0,0,0,0,0
1247009254.0,1247009209.0,drilling,false,1,0,0,0,0,0
1247009257.0,1247009212.0,drilling,false,1,0,0,0,0,0
1247009260.0,1247009215.0,drilling,false,1,0,0,0,0,0
1247009263.0,1247009218.0,drilling,false,1,0,0,0,0,0
1247009266.0,1247009221.0,drilling,false,1,0,0,0,0,0
1247009269.0,1247009224.0,drilling,false,1,0,0,0,0,0
1247009272.0,1247009227.0,drilling,false,1,0,0,0,0,0
1247009275.0,1247009230.0,drilling,false,1,0,0,0,0,0
1247009278.0,1247009233.0,drilling,false,1,0,0,0,0,0
1247009281.0,1247009236.0,drilling,false,1,0,0,0,0,0
1247009284.0,1247009239.0,drilling,false,1,0,0,0,0,0
1247009287.0,1247009242.0,drilling,false,1,0,0,0,0,0
1247009290.0,1247009245.0,drilling,false,1,0,0,0,0,0
1247009293.0,1247009248.0,drilling,false,1,0,0,0,0,0
1247009296.0,1247009251.0,drilling,false,1,0,0,0,0,0
1247009299.0,1247009254.0,drilling,false,1,0,0,0,0,0
1247009302.0,1247009257.0,drilling,false,1,0,0,0,0,0
1247009305.0,1247009260.0,drilling,false,1,0,0,0,0,0
1247009308.0,1247009263.0,drilling,false,1,0,0,0,0,0
1247009311.0,1247009266.0,drilling,false,1,0,0,0,0,0
1247009314.0,1247009269.0,drilling,false,1,0,0,0,0,0
1247009317.0,1247009272.0,drilling,false,1,0,0,0,0,0
1247009320.0,1247009275.0,drilling,false,1,0,0,0,0,0
1247009323.0,1247009278.0,drilling,false,1,0,0,0,0,0
1247009326.0,1247009281.0,drilling,false,1,0,0,0,0,0
1247009338.0,1247009284.0,drilling,false,1,0,0,0,0,0
1247009341.0,1247009287.0,drilling,false,1,0,0,0,0,0
1247009344.0,1247009290.0,drilling,false,1,0,0,0,0,0
1247009347.0,1247009293.0,drilling,false,1,0,0,0,0,0
1247009350.0,1247009296.0,drilling,false,1,0,0,0,0,0
1247009353.0,1247009299.0,drilling,false,1,0,0,0,0,0
1247009356.0,1247009302.0,drilling,false,1,0,0,0,0,0
1247009359.0,1247009305.0,drilling,false,1,0,0,0,0,0
1247009362.0,1247009308.0,drilling,false,1,0,0,0,0,0
1247009365.0,1247009311.0,drilling,false,1,0,0,0,0,0
1247009368.0,1247009314.0,drilling,false,1,0,0,0,0,0
1247009371.0,1247009317.0,drilling,false,1,0,0,0,0,0
1247009374.0,1247009320.0,drilling,false,1,0,0,0,0,0
1247009377.0,1247009323.0,drilling,false,1,0,0,0,0,0
1247009380.0,1247009326.0,drilling,false,1,0,0,0,0,0
1247009383.0,1247009338.0,drilling,false,1,0,0,0,0,0
1247009386.0,1247009341.0,drilling,false,1,0,0,0,0,0
1247009389.0,1247009344.0,drilling,false,1,0,0,0,0,0
1247009392.0,1247009347.0,drilling,false,1,0,0,0,0,0
1247009395.0,1247009350.0,drilling,false,1,0,0,0,0,0
1247009398.0,1247009353.0,drilling,false,1,0,0,0,0,0
1247009401.0,1247009356.0,drilling,false,1,0,0,0,0,0
1247009404.0,1247009359.0,drilling,false,1,0,0,0,0,0
1247009407.0,1247009362.0,drilling,false,1,0,0,0,0,0
1247009410.0,1247009365.0,drilling,false,1,0,0,0,0,0
1247009413.0,1247009368.0,drilling,false,1,0,0,0,0,0
1247009416.0,1247009371.0,drilling,false,1,0,0,0,0,0
1247009419.0,1247009374.0,drilling,false,1,0,0,0,0,0
1247009422.0,1247009377.0,drilling,false,1,0,0,0,0,0
1247009425.0,1247009380.0,drilling,false,1,0,0,0,0,0
1247009428.0,1247009383.0,drilling,false,1,0,0,0,0,0
1247009431.0,1247009386.0,drilling,false,1,0,0,0,0,0
1247009434.0,1247009389.0,drilling,false,1,0,0,0,0,0
1247009437.0,1247009392.0,drilling,false,1,0,0,0,0,0
1247009440.0,1247009395.0,drilling,false,1,0,0,0,0,0
1247009443.0,1247009398.0,drilling,false,1,0,0,0,0,0
1247009446.0,1247009401.0,drilling,false,1,0,0,0,0,0
1247009449.0,1247009404.0,drilling,false,1,0,0,0,0,0
1247009452.0,1247009407.0,drilling,false,1,0,0,0,0,0
1247009455.0,1247009410.0,drilling,false,1,0,0,0,0,0
1247009458.0,1247009413.0,drilling,false,1,0,0,0,0,0
1247009461.0,1247009416.0,drilling,false,1,0,0,0,0,0
1247009464.0,1247009419.0,drilling,false,1,0,0,0,0,0
1247009467.0,1247009422.0,drilling,false,1,0,0,0,0,0
1247009470.0,1247009425.0,drilling,false,1,0,0,0,0,0
1247009473.0,1247009428.0,drilling,false,1,0,0,0,0,0
1247009476.0,1247009431.0,drilling,false,1,0,0,0,0,0
1247009479.0,1247009434.0,drilling,false,1,0,0,0,0,0
1247009482.0,1247009437.0,drilling,false,1,0,0,0,0,0
